ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
67.9352716,18.1421023,0.0446,0.0458,0.0075,9.237,0.020,55.6,6.362E+00,6.833,0.014,76.7,7.232E+00,4.144,0.012,91.0,4.967E+00,0.140,0.021,52.0,1.188E+00,1,0,0.000,0.000,0.000,0.000,00dh,AAAA,0,55251.158208,930454588,16.607,0.157,13.634,0.056,11.406,0.037,0.282653,80.986778
67.9352825,18.1420914,0.0501,0.0506,-0.0019,9.300,0.023,47.2,4.023E+00,6.899,0.018,60.8,3.613E+00,4.163,0.013,83.0,7.092E+00,0.141,0.018,59.6,2.271E+00,1,0,0.000,0.000,0.000,0.000,00dh,AAAA,0,55248.842440,930454588,16.607,0.157,13.634,0.056,11.406,0.037,0.316490,89.087518
67.9353110,18.1420991,0.0889,0.0975,-0.0253,9.331,0.023,46.7,3.985E+00,7.024,0.026,41.2,1.112E+00,null,null,null,null,null,null,null,null,1,0,0.000,0.000,null,null,000H,AAXX,0,55249.040833,930454588,16.607,0.157,13.634,0.056,11.406,0.037,0.415241,85.474971
67.9353116,18.1420851,0.0549,0.0531,-0.0140,9.297,0.020,54.8,5.042E+00,6.899,0.016,67.1,4.524E+00,4.168,0.014,77.2,5.109E+00,0.109,0.023,47.5,1.190E+00,1,0,0.000,0.000,0.000,0.000,00dh,AAAA,0,55251.422816,930454588,16.607,0.157,13.634,0.056,11.406,0.037,0.416377,92.428101
67.9353268,18.1420758,0.0530,0.0535,0.0126,9.283,0.018,61.3,5.924E+00,6.908,0.016,68.6,3.033E+00,null,null,null,null,0.147,0.024,44.5,7.334E-01,1,0,0.000,0.000,null,0.000,000h,AAXA,0,55248.908529,930454588,16.607,0.157,13.634,0.056,11.406,0.037,0.470781,96.233760
67.9353269,18.1420723,0.0425,0.0449,0.0115,9.303,0.020,53.6,5.807E+00,6.866,0.014,76.5,3.290E+00,4.158,0.012,88.4,1.619E+00,0.115,0.017,65.8,1.577E+00,1,0,0.000,0.000,0.000,0.000,00dh,AAAA,0,55250.827384,930454588,16.607,0.157,13.634,0.056,11.406,0.037,0.472653,97.747790
67.9353283,18.1420977,0.0457,0.0487,0.0174,9.304,0.022,50.1,2.445E+00,6.868,0.019,58.1,2.565E+00,4.195,0.010,111.3,1.052E+01,0.160,0.020,55.0,1.107E+00,1,0,0.000,0.000,0.000,0.000,00dh,AAAA,0,55248.577705,930454588,16.607,0.157,13.634,0.056,11.406,0.037,0.473940,86.646928
67.9353323,18.1420923,0.0351,0.0363,-0.0034,9.308,0.018,59.8,1.005E+01,6.867,0.020,54.9,3.157E+00,4.207,0.011,98.2,3.651E+00,0.193,0.010,107.9,3.557E+00,2,0,0.000,0.000,0.000,0.000,00dh,AAAA,0,55250.959688,930454588,16.607,0.157,13.634,0.056,11.406,0.037,0.486880,89.025552
67.9353343,18.1421095,0.0396,0.0380,-0.0136,9.266,0.017,65.6,7.154E+00,6.857,0.016,66.6,4.512E+00,4.079,0.012,89.4,4.588E+00,0.068,0.010,114.1,5.814E+00,1,0,0.000,0.000,0.000,0.000,00dh,AAAA,0,55248.445401,930454588,16.607,0.157,13.634,0.056,11.406,0.037,0.498622,81.906523
67.9353354,18.1421143,0.0448,0.0438,-0.0128,9.281,0.026,42.4,4.630E+00,6.957,0.019,58.5,3.098E+00,4.139,0.011,95.4,4.970E+00,0.145,0.010,110.9,2.261E+00,1,0,0.000,0.000,0.000,0.000,00dh,AAAA,0,55248.710009,930454588,16.607,0.157,13.634,0.056,11.406,0.037,0.505051,80.025480
67.9353380,18.1420849,0.0415,0.0404,-0.0134,9.326,0.016,68.7,7.771E+00,6.876,0.016,67.5,2.284E+00,4.159,0.010,104.2,4.200E+00,0.037,0.008,136.9,3.906E+00,1,0,0.000,0.000,0.000,0.000,00dh,AAAA,0,55251.091992,930454588,16.607,0.157,13.634,0.056,11.406,0.037,0.506648,92.076735
67.9353478,18.1421196,0.0419,0.0416,-0.0042,9.331,0.016,65.8,1.479E+01,6.889,0.014,77.2,4.424E+00,4.149,0.012,93.0,7.170E+00,0.226,0.029,37.9,2.026E+00,1,0,0.000,0.000,0.000,0.000,00dh,AAAA,0,55250.893472,930454588,16.607,0.157,13.634,0.056,11.406,0.037,0.550258,78.833787
67.9353486,18.1421169,0.0461,0.0462,-0.0104,9.287,0.020,53.5,6.044E+00,6.832,0.015,72.6,3.930E+00,4.136,0.017,63.5,2.421E+00,0.094,0.015,74.8,1.310E+00,1,0,0.000,0.000,0.000,0.000,00dh,AAAA,0,55251.025777,930454588,16.607,0.157,13.634,0.056,11.406,0.037,0.551150,79.880274
67.9353547,18.1421089,0.0387,0.0393,-0.0092,9.277,0.018,60.4,7.913E+00,6.892,0.016,69.0,3.964E+00,4.134,0.012,93.1,5.194E+00,0.121,0.009,117.6,4.012E+00,1,0,0.000,0.000,0.000,0.000,00dh,AAAA,0,55248.776225,930454588,16.607,0.157,13.634,0.056,11.406,0.037,0.567541,83.114432
67.9353556,18.1421074,0.0429,0.0413,0.0057,9.322,0.021,50.9,4.716E+00,6.859,0.015,73.1,6.070E+00,4.108,0.013,83.7,4.864E+00,0.122,0.015,71.2,1.890E+00,1,0,0.000,0.000,0.000,0.000,00dh,AAAA,0,55250.562649,930454588,16.607,0.157,13.634,0.056,11.406,0.037,0.569974,83.690457
67.9353636,18.1421015,0.0342,0.0356,-0.0146,9.284,0.018,59.4,6.043E+00,6.936,0.015,73.2,6.440E+00,4.202,0.010,105.2,6.078E+00,0.071,0.011,96.0,3.237E+00,1,0,0.000,0.000,0.000,0.000,00dh,AAAA,0,55251.290512,930454588,16.607,0.157,13.634,0.056,11.406,0.037,0.595332,86.012352
