ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
67.8921019,18.1346127,0.0207,0.0218,-0.0028,7.784,0.014,77.3,8.865,5.12,0.014,78.6,42.25,1,0,0,AA,10,56712.62234631,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.446062,128.598152
67.8921397,18.1344171,0.023,0.0262,-0.0114,7.542,0.014,76.2,53.49,4.978,0.017,65.4,15.38,1,0,0,AA,10,56712.75401368,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,1.092524,154.057906
67.8922371,18.1345892,0.0198,0.0185,0.0065,7.692,0.016,67.2,79.69,4.904,0.013,83.9,84.93,1,0,0,AA,10,56712.8858084,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.888633,114.101718
67.8921399,18.134492,0.0256,0.0244,0.0077,7.74,0.016,69,24.78,4.655,0.015,73.3,51.07,1,0,0,AA,10,56713.01747578,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.858582,146.119837
67.8922909,18.1345604,0.0305,0.0163,0.0061,7.743,0.02,54.3,16.28,4.693,0.012,89.8,75.55,1,0,0,AA,10,56713.08343682,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,1.099154,115.11715
67.8921741,18.1346043,0.0227,0.019,-0.0003,7.76,0.014,79.8,22.77,4.847,0.012,93.5,63.41,1,0,0,AA,10,56713.14927045,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.670788,117.382993
67.8920249,18.1344902,0.0249,0.0198,-0.0136,7.663,0.014,77.1,41.97,5.012,0.013,81.7,38.22,1,0,0,AA,10,56713.21510409,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.724304,173.245675
67.8922488,18.134747,0.0234,0.0233,-0.0034,7.78,0.016,69,21.78,5.335,0.013,82.4,206.7,1,0,0,AA,10,56713.34677146,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.875573,76.446031
67.8921739,18.1344858,0.0269,0.0269,-0.0122,7.771,0.017,63.2,12.86,4.898,0.017,64.7,20.23,1,0,0,AA,10,56713.34689882,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.945706,141.016221
67.8921736,18.134536,0.0267,0.0211,0.0068,7.774,0.015,72.1,13.46,4.796,0.014,79.7,34.8,1,0,0,AA,10,56713.47856619,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.812462,133.029037
67.8921058,18.1345624,0.0295,0.0232,-0.0149,7.759,0.017,65.8,16.44,4.659,0.017,63.6,14.76,1,0,0,AA,10,56713.61023355,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.58483,141.763014
67.8920723,18.134659,0.0237,0.0212,-0.0082,7.821,0.014,76.4,10.53,4.802,0.013,81.7,52.62,1,0,0,AA,10,56903.56288624,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.271365,114.283945
