source_id_mf,ra,dec,nb,na,cc_flags,frame_id,mjd,w1mpro,w1sigmpro,w1rchi2,w2mpro,w2sigmpro,w2rchi2,w3mpro,w3sigmpro,w3rchi2,w4mpro,w4sigmpro,w4rchi2,qi_fact,saa_sep,moon_masked,dist,angle
0681p181_ac51-028839,67.8921848,18.1346795,1,0,0h00,07940a131,55442.17357370,7.717,0.024,5.540E+00,5.093,0.026,5.670E+00,null,null,null,null,null,null,1.0,44,0111,0.633360,93.421498
0681p181_ac51-028839,67.8921848,18.1346795,1,0,0h00,07944a132,55442.30587780,7.861,0.030,5.678E+00,4.781,0.026,1.184E+01,null,null,null,null,null,null,1.0,26,0111,0.633360,93.421498
0681p181_ac51-028839,67.8921848,18.1346795,1,0,0h00,07853b159,55439.32948260,7.756,0.025,5.278E+00,null,null,null,null,null,null,null,null,null,1.0,25,0111,0.633360,93.421498
0681p181_ac51-028839,67.8921848,18.1346795,1,0,0h00,07937b157,55442.10748530,7.786,0.030,5.239E+00,5.086,0.025,5.725E+00,null,null,null,null,null,null,1.0,51,1111,0.633360,93.421498
0681p181_ac51-028839,67.8921848,18.1346795,1,0,0h00,07932a131,55441.90896480,7.672,0.034,6.173E+00,5.158,0.032,5.246E+00,null,null,null,null,null,null,1.0,102,1111,0.633360,93.421498
0681p181_ac51-028839,67.8921848,18.1346795,1,0,0h00,07852a134,55439.26339410,7.710,0.021,5.618E+00,null,null,null,null,null,null,null,null,null,1.0,31,0111,0.633360,93.421498
0681p181_ac51-028839,67.8921848,18.1346795,1,0,0h00,07936a131,55442.04126950,7.712,0.026,5.596E+00,5.065,0.029,5.924E+00,null,null,null,null,null,null,1.0,65,1111,0.633360,93.421498
0681p181_ac51-028839,67.8921848,18.1346795,1,0,0h00,07845b159,55439.06487420,7.613,0.033,7.602E+00,null,null,null,null,null,null,null,null,null,1.0,59,0111,0.633360,93.421498
0681p181_ac51-028839,67.8921848,18.1346795,1,0,0h00,07849b159,55439.19717840,7.817,0.026,5.334E+00,null,null,null,null,null,null,null,null,null,1.0,41,0111,0.633360,93.421498
0681p181_ac51-028839,67.8921848,18.1346795,1,0,0h00,02173a123,55251.42281630,7.826,0.018,5.382E+00,5.606,0.020,6.349E+00,0.750,0.019,1.328E+00,-2.527,0.002,5.445E+02,1.0,93,0000,0.633360,93.421498
0681p181_ac51-028839,67.8921848,18.1346795,1,0,0h00,07841b160,55438.93269730,7.832,0.027,5.422E+00,5.021,0.018,6.426E+00,null,null,null,null,null,null,1.0,95,0011,0.633360,93.421498
0681p181_ac51-028839,67.8921848,18.1346795,1,0,0h00,02165a123,55251.15820800,7.821,0.026,5.353E+00,5.438,0.018,5.347E+00,null,null,null,-2.058,0.008,2.093E+03,1.0,82,0011,0.633360,93.421498
0681p181_ac51-028839,67.8921848,18.1346795,1,0,0h00,02169a123,55251.29051210,7.848,0.025,5.548E+00,5.331,0.023,5.012E+00,0.757,0.004,1.319E+00,-2.408,0.001,3.978E+02,1.0,125,0000,0.633360,93.421498
0681p181_ac51-028839,67.8921848,18.1346795,1,0,0h00,02158a147,55250.95968820,7.824,0.025,5.372E+00,null,null,null,null,null,null,null,null,null,1.0,33,0111,0.633360,93.421498
0681p181_ac51-028839,67.8921848,18.1346795,1,0,0h00,02161a122,55251.02577660,7.709,0.023,5.623E+00,null,null,null,null,null,null,null,null,null,1.0,46,0111,0.633360,93.421498
0681p181_ac51-028839,67.8921848,18.1346795,1,0,0h00,02154a147,55250.82738410,7.792,0.025,5.247E+00,null,null,null,null,null,null,null,null,null,1.0,23,0111,0.633360,93.421498
0681p181_ac51-028839,67.8921848,18.1346795,1,0,0h00,02157a123,55250.89347240,7.780,0.022,5.237E+00,null,null,null,null,null,null,null,null,null,1.0,23,0111,0.633360,93.421498
0681p181_ac51-028839,67.8921848,18.1346795,1,0,0h00,07948a132,55442.43818190,7.696,0.032,5.790E+00,4.813,0.030,1.080E+01,null,null,null,null,null,null,1.0,30,0111,0.633360,93.421498
0681p181_ac51-028839,67.8921848,18.1346795,1,0,0h00,02074b145,55248.18079260,7.854,0.029,5.610E+00,null,null,null,0.700,0.015,2.388E+00,null,null,null,1.0,89,1111,0.633360,93.421498
